source_column,release_column,classification,action,description
student_code,research_id,pseudonymous_identifier,replace,Randomly assigned research identifier replacing the institutional student identifier.
last_name,,direct_identifier,remove,
preferred_name,,direct_identifier,remove,
email_address,,direct_identifier,remove,
course,course,quasi_identifier,retain,
display_subject_code,display_subject_code,institutional_identifier,retain,
subject_code,subject_code,institutional_identifier,retain,
International Student,international_student,quasi_identifier,retain,
SOS,secondary_school_mathematics,research_variable,retain,
Grade,historical_grade,research_variable,retain,
Current 33130,current_subject,institutional_variable,retain,
Pass 33130,current_subject_pass,outcome_variable,retain,
Has Previous 33130,has_previous_current_subject_attempt,derived_variable,retain,
Previous 33130 Fail,previous_current_subject_failure,predictor_variable,retain,
Has 35010,has_preparatory_subject,predictor_variable,retain,
Prior 35010 Fail,prior_preparatory_subject_failure,predictor_variable,retain,
Prior 35010 Pass,prior_preparatory_subject_pass,predictor_variable,retain,
SOS Level,secondary_preparation_level,predictor_variable,retain,
SOS Mark,secondary_school_mark,quasi_identifier,retain,
SOS Band,secondary_school_mark_band,predictor_variable,retain,
Current Outcome,current_outcome,outcome_variable,retain,
Risk Index,risk_index,derived_variable,retain,
