model,model_type,dataset,rank,feature,importance
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,1,has_preparatory_subject,0.5172899640473531
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,2,secondary_preparation_level_Other,0.15875381840583944
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,3,has_previous_current_subject_attempt,0.1550397824408701
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,4,secondary_preparation_level_Standard,0.14831065691187334
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,5,secondary_school_mark_band_80-89,0.020605778194064117
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,6,previous_current_subject_failure,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,7,international_student,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,8,secondary_preparation_level_Advanced,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,9,prior_preparatory_subject_pass,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,10,prior_preparatory_subject_failure,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,11,secondary_preparation_level_Ext2,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,12,secondary_preparation_level_Ext1,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,13,secondary_school_mark_band_70-79,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,14,secondary_school_mark_band_90+,0.0
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,15,secondary_school_mark_band_<70,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,1,risk_index,0.7108972707013184
Decision Tree — With Risk Index,Decision Tree,With Risk Index,2,secondary_preparation_level_Other,0.15393628233482623
Decision Tree — With Risk Index,Decision Tree,With Risk Index,3,secondary_school_mark_band_<70,0.04885273450475121
Decision Tree — With Risk Index,Decision Tree,With Risk Index,4,international_student,0.0465031113323826
Decision Tree — With Risk Index,Decision Tree,With Risk Index,5,secondary_school_mark_band_70-79,0.014101048839850685
Decision Tree — With Risk Index,Decision Tree,With Risk Index,6,secondary_school_mark_band_80-89,0.009245786902307512
Decision Tree — With Risk Index,Decision Tree,With Risk Index,7,secondary_preparation_level_Advanced,0.008271636554177437
Decision Tree — With Risk Index,Decision Tree,With Risk Index,8,secondary_preparation_level_Standard,0.008192128830385791
Decision Tree — With Risk Index,Decision Tree,With Risk Index,9,prior_preparatory_subject_failure,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,10,prior_preparatory_subject_pass,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,11,previous_current_subject_failure,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,12,has_preparatory_subject,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,13,has_previous_current_subject_attempt,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,14,secondary_preparation_level_Ext2,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,15,secondary_preparation_level_Ext1,0.0
Decision Tree — With Risk Index,Decision Tree,With Risk Index,16,secondary_school_mark_band_90+,0.0
Random Forest — Without Risk Index,Random Forest,Without Risk Index,1,secondary_preparation_level_Standard,0.15894459271378392
Random Forest — Without Risk Index,Random Forest,Without Risk Index,2,has_preparatory_subject,0.14434782976267163
Random Forest — Without Risk Index,Random Forest,Without Risk Index,3,prior_preparatory_subject_pass,0.129875170793473
Random Forest — Without Risk Index,Random Forest,Without Risk Index,4,previous_current_subject_failure,0.09667478674782361
Random Forest — Without Risk Index,Random Forest,Without Risk Index,5,has_previous_current_subject_attempt,0.09619079526126624
Random Forest — Without Risk Index,Random Forest,Without Risk Index,6,secondary_preparation_level_Ext1,0.06969169663974403
Random Forest — Without Risk Index,Random Forest,Without Risk Index,7,secondary_preparation_level_Other,0.0681691721004822
Random Forest — Without Risk Index,Random Forest,Without Risk Index,8,secondary_preparation_level_Advanced,0.038784534376836384
Random Forest — Without Risk Index,Random Forest,Without Risk Index,9,secondary_school_mark_band_80-89,0.03705461045646346
Random Forest — Without Risk Index,Random Forest,Without Risk Index,10,secondary_school_mark_band_90+,0.034902865523148856
Random Forest — Without Risk Index,Random Forest,Without Risk Index,11,secondary_school_mark_band_<70,0.0341911989046928
Random Forest — Without Risk Index,Random Forest,Without Risk Index,12,international_student,0.03299703139590679
Random Forest — Without Risk Index,Random Forest,Without Risk Index,13,secondary_preparation_level_Ext2,0.02858492088309597
