model,dataset,false_positive_rate,true_positive_rate,threshold
Decision Tree — Without Risk,Without Risk Index,0.0,0.0,inf
Decision Tree — Without Risk,Without Risk Index,0.0,0.0635593220338983,0.9132117191818685
Decision Tree — Without Risk,Without Risk Index,0.0,0.0847457627118644,0.8263914485809067
Decision Tree — Without Risk,Without Risk Index,0.05084745762711865,0.18220338983050846,0.7319599362622354
Decision Tree — Without Risk,Without Risk Index,0.0847457627118644,0.288135593220339,0.7256133083047446
Decision Tree — Without Risk,Without Risk Index,0.0847457627118644,0.3220338983050847,0.6927592954990218
Decision Tree — Without Risk,Without Risk Index,0.11864406779661017,0.3644067796610169,0.6556514110250035
Decision Tree — Without Risk,Without Risk Index,0.11864406779661017,0.3983050847457627,0.6254969520275643
Decision Tree — Without Risk,Without Risk Index,0.1864406779661017,0.4957627118644068,0.612624653027655
Decision Tree — Without Risk,Without Risk Index,0.288135593220339,0.673728813559322,0.5877026170424684
Decision Tree — Without Risk,Without Risk Index,0.288135593220339,0.6779661016949152,0.5205293518832714
Decision Tree — Without Risk,Without Risk Index,0.3220338983050847,0.6822033898305084,0.48440065681445005
Decision Tree — Without Risk,Without Risk Index,0.4915254237288136,0.8728813559322034,0.45459404088540256
Decision Tree — Without Risk,Without Risk Index,0.559322033898305,0.8983050847457628,0.3798098024871982
Decision Tree — Without Risk,Without Risk Index,0.576271186440678,0.9110169491525424,0.2945581627558663
Decision Tree — Without Risk,Without Risk Index,0.6101694915254238,0.9322033898305084,0.2680215182307232
Decision Tree — Without Risk,Without Risk Index,0.7457627118644068,0.9491525423728814,0.20033955857385397
Decision Tree — Without Risk,Without Risk Index,0.7966101694915254,0.9745762711864406,0.18873031496062995
Decision Tree — Without Risk,Without Risk Index,0.8135593220338984,0.9788135593220338,0.16696144322603468
Decision Tree — Without Risk,Without Risk Index,0.9152542372881356,0.9957627118644068,0.1029995238850976
Decision Tree — Without Risk,Without Risk Index,0.9491525423728814,1.0,0.0910845233500579
Decision Tree — Without Risk,Without Risk Index,1.0,1.0,0.0
Decision Tree — With Risk,With Risk Index,0.0,0.0,inf
Decision Tree — With Risk,With Risk Index,0.0,0.0211864406779661,0.826391448580907
Decision Tree — With Risk,With Risk Index,0.0,0.1016949152542373,0.8003391267486222
