model,model_type,dataset,rank,feature,importance
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,1,has_preparatory_subject,0.4129131682634297
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,2,secondary_preparation_level_Standard,0.12160157386386046
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,3,secondary_preparation_level_Other,0.12037290279174866
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,4,has_previous_current_subject_attempt,0.11902466928776055
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,5,international_student,0.05295094954387856
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,6,secondary_school_mark_band_<70,0.04370798131635587
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,7,secondary_school_mark_band_90+,0.04362797155106236
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,8,secondary_preparation_level_Ext2,0.0327703729215331
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,9,secondary_preparation_level_Ext1,0.019768666394085362
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,10,prior_preparatory_subject_failure,0.018487814716037214
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,11,secondary_school_mark_band_70-79,0.013806286352103977
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,12,secondary_preparation_level_Advanced,0.0009676429981441849
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,13,previous_current_subject_failure,0.0
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,14,prior_preparatory_subject_pass,0.0
Decision Tree — Without Risk,Tuned Decision Tree,Without Risk Index,15,secondary_school_mark_band_80-89,0.0
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,1,risk_index,0.6873282945290933
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,2,secondary_preparation_level_Other,0.1447701197442155
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,3,secondary_school_mark_band_<70,0.04664818158201773
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,4,international_student,0.041785650776511744
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,5,secondary_preparation_level_Ext2,0.02059423238550322
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,6,secondary_preparation_level_Standard,0.016154708620762834
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,7,secondary_school_mark_band_70-79,0.014735023977995993
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,8,secondary_school_mark_band_80-89,0.013981689476595005
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,9,secondary_preparation_level_Advanced,0.008449497231077564
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,10,secondary_school_mark_band_90+,0.00555260167622707
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,11,prior_preparatory_subject_failure,0.0
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,12,has_preparatory_subject,0.0
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,13,has_previous_current_subject_attempt,0.0
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,14,prior_preparatory_subject_pass,0.0
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,15,previous_current_subject_failure,0.0
Decision Tree — With Risk,Tuned Decision Tree,With Risk Index,16,secondary_preparation_level_Ext1,0.0
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,1,secondary_preparation_level_Standard,0.16527303845955127
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,2,has_preparatory_subject,0.14901604730441248
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,3,prior_preparatory_subject_pass,0.1293917111164604
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,4,previous_current_subject_failure,0.10001047604224395
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,5,has_previous_current_subject_attempt,0.09912454389054672
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,6,secondary_preparation_level_Ext1,0.07082255725106258
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,7,secondary_preparation_level_Other,0.06398256066626266
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,8,secondary_preparation_level_Advanced,0.03787109821215782
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,9,secondary_school_mark_band_80-89,0.03606704008547562
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,10,secondary_school_mark_band_90+,0.03232166544103219
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,11,secondary_school_mark_band_<70,0.032100566224716694
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,12,international_student,0.02943350055929402
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,13,secondary_preparation_level_Ext2,0.026881701221676563
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,14,secondary_school_mark_band_70-79,0.015454787991121162
Random Forest — Without Risk,Tuned Random Forest,Without Risk Index,15,prior_preparatory_subject_failure,0.01224870553398582
Random Forest — With Risk,Tuned Random Forest,With Risk Index,1,risk_index,0.2651155824681643
Random Forest — With Risk,Tuned Random Forest,With Risk Index,2,has_preparatory_subject,0.11584458334374002
Random Forest — With Risk,Tuned Random Forest,With Risk Index,3,prior_preparatory_subject_pass,0.0833230014066754
Random Forest — With Risk,Tuned Random Forest,With Risk Index,4,secondary_preparation_level_Other,0.07837507624693525
Random Forest — With Risk,Tuned Random Forest,With Risk Index,5,secondary_preparation_level_Standard,0.07678810933751085
Random Forest — With Risk,Tuned Random Forest,With Risk Index,6,has_previous_current_subject_attempt,0.059151517494405365
Random Forest — With Risk,Tuned Random Forest,With Risk Index,7,previous_current_subject_failure,0.05867115501566053
Random Forest — With Risk,Tuned Random Forest,With Risk Index,8,secondary_preparation_level_Ext1,0.04853901920527793
Random Forest — With Risk,Tuned Random Forest,With Risk Index,9,secondary_school_mark_band_80-89,0.040972496173863705
Random Forest — With Risk,Tuned Random Forest,With Risk Index,10,secondary_school_mark_band_<70,0.03520983958653634
Random Forest — With Risk,Tuned Random Forest,With Risk Index,11,international_student,0.03376645527403728
Random Forest — With Risk,Tuned Random Forest,With Risk Index,12,secondary_school_mark_band_90+,0.03375197540670846
